Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
amour_tt1602620,0.0,0.012022577437295128,0.0,0.0,0.9879774225627049,0.0,0.443726417510372,0.556273582489628
amsterdam_tt10304142,0.2255779583612566,0.0,0.036573924080969634,0.017133486301643443,0.7175915036015598,0.034892752053754895,0.7042386706819953,0.29576132931800464
an.education_tt1174732,0.0,0.005822819807627944,0.12132390390128202,0.0,0.954799115263166,0.0,0.36772341795563834,0.6322765820443617
anaconda,0.19448785304192007,0.0,0.22579445859794992,0.0,0.5881675341614152,0.0,0.6749035566428303,0.32509644335716975
analyze_this,0.0,0.0,0.06870703921662882,0.002664341090594464,0.9302162373735644,0.0,0.9110060831120604,0.0889939168879396
anchorman.2.the_tt1229340,0.06615218911420387,0.0,0.0012986939751426705,0.0,0.9325491169106537,0.0007838404800036092,0.8206017571702033,0.17939824282979663
anchorman_fs,0.004899152896440228,0.0,0.011399264915138266,0.0,0.9847945213774062,0.0,0.8057699225957689,0.19423007740423112
angel.has.falle_tt6189022,0.2431556053516114,0.0,0.008753707243129244,0.0,0.7559322480722336,0.0,0.8586391704532215,0.1413608295467785
angels.in.the.o_tt0109127,0.2839812738732554,0.04632817464085126,0.0336894997845473,0.0,0.6471980192957987,0.015768216708905138,0.9379190908635509,0.06208090913644919
angels_and_demons,0.0,0.0,0.054943991270909785,0.0,0.9563175910526825,0.0005332488582666772,0.8267406047784968,0.17325939522150324
anger_management,0.02667606626718364,0.0,0.038975443543649395,0.009464222770532256,0.9482822230055228,0.001519797908588885,0.8668809823607412,0.13311901763925876
animal_tt0255798,0.055869987063389394,0.0027409443725743858,0.02792241627138135,0.06097276124766425,0.8678408437544918,0.05755893344832546,0.8709733377278956,0.12902666227210435
annabelle.comes_tt8350360,0.0,0.0,0.15519905632556769,0.0,0.9018802713063996,0.0,0.14546234949703946,0.8545376505029605
annabelle.creat_tt5140878,0.058915852347986915,0.0,0.140880463849249,0.04418688926099015,0.8468322795091597,0.0,0.10729697920753237,0.8927030207924677
annabelle_tt3322940,0.08430497520093751,0.0,0.0,0.0,0.9156950247990625,0.0,0.3837274165822338,0.6162725834177661
annie_fs,0.035681265421738544,0.0,0.027983793556289716,0.007136253084347711,0.953149715268331,0.0,0.32024664297200683,0.6797533570279931
annie_tt1823664,0.5410300249148317,0.0,0.08395726343621301,0.040175166522601356,0.36704695683124067,0.01001995728885952,0.39316504808847574,0.6068349519115243
another_48_hrs,0.4782291134521658,0.0034103304016457952,0.012241291231170695,5.108592099631353e-05,0.5100004142101704,0.0,0.9301006208520659,0.06989937914793407
ant_man_and_the_wasp,0.1034816215080865,0.035143877336693975,0.11032640201638326,0.01641503885738289,0.7869472799831967,0.007158160050409578,0.7076554686949785,0.29234453130502147
antlers_tt7740510,0.0,0.0,0.019594383310749437,0.008143603794094435,0.9671292642613577,0.01628720758818887,0.4041850220264317,0.5958149779735683
antman,0.04447391504114281,0.0,0.1004991437283321,0.02657366024810996,0.863850716344346,0.003145232028737312,0.8300774194808112,0.1699225805191889
any_which_way_you_can,0.0049754445982524665,0.0,0.044406923124399325,0.0,0.9566396571942472,0.008650378691025157,0.7750117742044002,0.22498822579559982
apollo13,0.012584983978561332,0.00015733628392163886,0.004425242879893576,0.0017198262905092961,0.985527620192769,0.0,0.9019316412119888,0.09806835878801126
aquaman,0.07758575835284497,0.038997286951350955,0.04128913170054881,0.038957644231364844,0.7775510709728576,0.07235539698467562,0.7056607834696513,0.29433921653034867
arachnophobia,0.0,0.001480533521617775,0.009462396434363382,0.007402667608088876,0.9805114570347407,0.001480533521617775,0.8257180227216223,0.17428197727837771
are.we.done.yet_tt0422774,0.7603561699532424,0.002154909534458223,0.018508639967473064,0.002154909534458223,0.21951616182150843,0.002154909534458223,0.7579911145451034,0.24200888545489666
are_we_there_yet,0.9541828178294292,0.0,2.7635760674312563e-05,0.0,0.045817182170570826,0.0,0.6771253612613386,0.3228746387386614
argo,0.0,0.0,0.024079279719709943,0.0015073739102094024,0.982605108775361,0.001241546484152204,0.8641122627186324,0.13588773728136766
armageddon,0.07961920706728884,0.003019805507070851,0.03184554554197985,0.0,0.9060039895985468,0.0,0.9035386352848749,0.09646136471512513
