key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec_td,rec_yards,receptions,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
https://www.sports-reference.com/cfb/players/michael-bush-1.html,Michael Bush,257.0,RB,Louisville,2007.0,,142,Louisville,22.81949620662488,21.83167711949298,118.02128228600986,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,36.0,73.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,3.0,115.0,0.0,0.0,0.0,2.0,0.0,0.0,435.0,39.0,2508.0,0.0,4.0,4.325646976025263,0.0,0.0,0.0,0.0,7.165082822123418,34.45031639542282,243.0
https://www.sports-reference.com/cfb/players/michael-campanaro-1.html,Michael Campanaro,257.0,WR,Wake Forest,2014.0,,78,Wake Forest,22.33747240689174,20.0,122.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,42.0,69.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,4.0,174.0,0.0,1.0,0.0,14.0,0.0,0.0,51.0,2.0,238.0,0.0,4.0,4.01,0.0,1.0,0.0,1.0,6.77,39.0,192.0
https://www.sports-reference.com/cfb/players/michael-clayton-1.html,Michael Clayton,257.0,WR,LSU,2004.0,,331,LSU,22.531664990424087,14.50537689066698,116.0,0.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0,0.0,39.0,75.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,6.0,1.0,63.0,0.0,3.0,4.09,0.0,0.0,0.0,0.0,6.77,32.5,209.0
https://www.sports-reference.com/cfb/players/michael-crabtree-1.html,Michael Crabtree,257.0,WR,Texas Tech,2009.0,,89,Texas Tech,22.5077179303513,17.783143868509313,120.38152810254442,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0,26.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,4.238232100681314,0.0,2.0,0.0,2.0,7.013923834568406,35.0326876303086,215.0
https://www.sports-reference.com/cfb/players/michael-dyer-1.html,Michael Dyer,257.0,RB,Louisville,2015.0,,142,Louisville,21.524188297963892,26.0,120.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,42.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,22.0,3039.0,0.0,5.0,4.288148584317735,0.0,0.0,0.0,0.0,7.179205173541864,34.0,218.0
https://www.sports-reference.com/cfb/players/michael-egnew-1.html,Michael Egnew,257.0,TE,Missouri,2012.0,,118,Missouri,23.958680737982437,21.0,131.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,0.0,0.0,50.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,8.0,0.0,4.0,4.32,0.0,1.0,0.0,1.0,7.03,36.0,252.0
https://www.sports-reference.com/cfb/players/michael-floyd-1.html,Michael Floyd,257.0,WR,Notre Dame,2012.0,,240,Notre Dame,23.345849060799747,16.0,122.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,43.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,4.0,1.0,30.0,0.0,4.0,4.178255109163548,0.0,2.0,0.0,2.0,6.87302511062814,36.5,220.0
https://www.sports-reference.com/cfb/players/michael-ford-2.html,Michael Ford,257.0,RB,LSU,2013.0,,331,LSU,22.549745517311237,25.0,130.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,37.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,243.0,13.0,1392.0,0.0,3.0,4.25,1.0,1.0,0.0,0.0,6.87,38.5,210.0
https://www.sports-reference.com/cfb/players/michael-grant-1.html,Michael Grant,257.0,CB,Arkansas,2008.0,,177,Arkansas,21.144818847565595,14.0,116.0,0.0,9.0,0.0,0.0,4.37,1.0,0.0,0.0,0.0,44.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.1,31.0,113.0,3.0,82.0,7.08,30.5,186.0
https://www.sports-reference.com/cfb/players/michael-griffin-1.html,Michael Griffin,257.0,S,Texas,2007.0,,190,Texas,22.99287600673741,16.0,120.0,0.0,8.0,0.0,0.0,4.45,5.0,0.0,0.0,0.0,34.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.1,72.0,188.0,6.0,116.0,6.6,36.0,202.0
https://www.sports-reference.com/cfb/players/michael-hamlin-1.html,Michael Hamlin,257.0,S,Clemson,2009.0,,217,Clemson,22.52181646673807,17.0,117.0,0.0,14.0,0.0,0.0,4.57,4.0,0.0,0.0,0.0,48.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.42,102.0,283.0,13.0,181.0,7.14,37.5,214.0
https://www.sports-reference.com/cfb/players/michael-haynes-1.html,Michael Haynes,257.0,DE,Penn State,2003.0,,100,Penn State,22.95914321003796,23.0,109.0,0.0,0.0,0.0,0.0,4.87,0.0,1.0,0.0,12.0,13.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.520773535194465,0.0,0.0,0.0,0.0,7.447577014124861,30.5,281.0
https://www.sports-reference.com/cfb/players/michael-hoomanawanui-1.html,Michael Hoomanawanui,257.0,TE,Illinois,2010.0,,101,Illinois,22.95535582621898,25.0,115.86035117509104,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,41.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.398895213509812,2.0,8.0,0.0,6.0,7.268226941681915,33.39307689642487,264.0
https://www.sports-reference.com/cfb/players/michael-huff-1.html,Michael Huff,257.0,S,Texas,2006.0,,190,Texas,22.950655392544096,21.0,125.0,0.0,7.0,4.0,0.0,4.34,3.0,0.0,0.0,21.0,51.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.075259181649075,43.0,87.0,9.0,44.0,6.802953292796859,40.5,204.0
https://www.sports-reference.com/cfb/players/michael-jameson-1.html,Michael Jameson,257.0,S,Texas A&M,2001.0,,182,Texas A&M,21.854507234524068,9.0,118.0,0.0,7.0,3.0,0.0,4.5,0.0,0.0,0.0,0.0,20.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.2,0.0,0.0,0.0,0.0,7.13,34.5,186.0
https://www.sports-reference.com/cfb/players/michael-jenkins-1.html,Michael Jenkins,257.0,WR,Ohio State,2004.0,,149,Ohio State,23.409368946653732,17.007614881728415,126.05093693726135,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,38.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.154627302726153,0.0,0.0,0.0,0.0,6.823522628628288,37.05132242732341,218.0
