IMDB ID,Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
tt0232500,fast_and_the_furious,0.0859867265274253,0.0470915479211399,0.1845920359164551,0.0,0.8284081592816721,0.0,0.8585871104815864,0.1414128895184136
tt1596343,fast_five,0.3011782943368565,0.0796207770786241,0.2023924796872135,0.0162991019610238,0.5661585924613594,0.0364919970676278,0.8037045337883268,0.1962954662116731
tt0093010,fatal_attraction,0.0,0.000732232591529,0.0032390524048815,0.0152945680784876,0.9795558746111508,0.0011782723139507,0.575521670078675,0.4244783299213249
tt4630562,fate_of_the_furious,0.3342877620181034,0.0131351920507534,0.2121388817611509,0.0262703841015068,0.6288213277648498,0.0394055761522602,0.7034156577347744,0.2965843422652255
tt0113041,father.of.the.b_tt0113041,0.0015098673243118,0.0118513735929338,0.0100345581269812,0.0065464629518885,0.9735558883767208,0.0,0.6291404122909374,0.3708595877090626
tt14439896,father.stu_tt14439896,0.0442022456334904,0.0421333518159135,0.0297711047962295,0.016755614083726,0.8948260327141668,0.0,0.817768347088033,0.182231652911967
tt0101862,father_of_the_bride,0.0,0.0126520204001569,0.0072754653943988,0.0051051013047494,0.9786469077057413,0.0,0.6358557164159384,0.3641442835840616
tt10272386,father_tt10272386,0.0,0.0137619616679285,0.007630837157114,0.0,0.992369162842886,0.0,0.6241704092950524,0.3758295907049475
tt2582846,fault_in_our_stars,0.0,0.0,0.0267421602787456,0.0053086112493778,0.9786660029865608,0.0,0.4531118523406239,0.5468881476593761
tt5083738,favourite_tt5083738,0.0,0.0,0.023744058755854,0.0,1.0,0.0,0.1647168831168831,0.8352831168831168
tt2671706,fences_tt2671706,0.9199479955775764,0.0400260022112116,0.0133420007370705,0.0,0.0933940051594939,0.0,0.7757531099205314,0.2242468900794686
tt0091042,ferris_bueller,0.0055545236642166,0.0,0.025645448032478,0.0014107428733161,0.9815957757316848,0.0114389577307824,0.7183439079835782,0.2816560920164218
tt0104257,few_good_men,0.0822947387379274,0.0001226952430266,0.0240163743743293,0.0001226952430266,0.8938115821307703,0.0,0.8320695953370251,0.1679304046629749
tt0097351,field_of_dreams,0.1709928057553957,0.0,0.0097743062692702,0.0037640287769784,0.815468859198355,0.0,0.7890841531386106,0.2109158468613894
tt0080731,fiendish.plot_tt0080731,0.0,0.0834876854517779,0.0799788491750567,0.0270333217187184,0.8671752645381358,0.0,0.901218486413234,0.098781513586766
tt0119116,fifth_element,0.1719086526956343,0.0065920823219718,0.0106765580663908,0.002844347201805,0.8179669071142864,0.0,0.8536089378672106,0.1463910621327894
